Ano;Mês;Indicador;Descrição;Município;UF;Prestadora;Resultado;Número de Coletores;Número de Medidas;Limite Inferior;Limite Superior;data
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;porto velho;ro;claro;92,07;1245;6746;91,1795;92,9592;2022-04-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;vivo;93,06;6046;29481;92,6376;93,4889;2022-06-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;vivo;93,57;2165;6205;92,6418;94,4975;2022-03-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;tim;93,97;4130;11529;93,2910;94,6523;2022-03-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;94,57;15649;87360;94,3203;94,8149;2022-07-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;tim;93,64;71303;302023;93,5035;93,7695;2022-10-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;95,14;12274;56449;94,8291;95,4443;2022-11-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;90,63;26304;118835;90,4144;90,8385;2022-08-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;89,84;16133;92859;89,6043;90,0840;2022-09-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;94,69;12941;64583;94,4068;94,9820;2022-05-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;porto velho;ro;tim;95,04;3997;24400;94,5731;95,5088;2022-08-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;vivo;91,42;8712;47053;91,0798;91,7537;2022-12-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;90,07;35141;158883;89,8860;90,2527;2022-10-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;90,63;17951;101246;90,3985;90,8579;2022-11-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;claro;90,21;74847;295478;90,0705;90,3394;2022-08-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;90,18;37042;157700;89,9954;90,3634;2022-11-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;claro;91,40;6710;32828;90,9942;91,8009;2022-04-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;claro;83,62;449;2161;82,0465;85,1908;2022-04-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;porto velho;ro;tim;94,87;3070;14455;94,2658;95,4816;2022-10-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;89,09;13866;77777;88,8321;89,3562;2022-07-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;88,06;9702;46020;87,7196;88,4009;2022-05-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;90,98;20617;92773;90,7391;91,2190;2022-07-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;claro;84,61;4254;18711;84,0790;85,1476;2022-08-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;tim;93,71;8597;34644;93,3176;94,1029;2022-11-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;vivo;88,63;49725;149098;88,4431;88,8217;2022-12-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;88,57;11898;62159;88,2725;88,8588;2022-06-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;tim;94,23;65995;295527;94,0989;94,3677;2022-04-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;95,80;14001;54950;95,4861;96,1096;2022-12-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;vivo;87,75;4942;17361;87,1947;88,3041;2022-03-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;tim;94,85;15349;76979;94,5865;95,1133;2022-09-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;porto velho;ro;tim;94,18;3575;19204;93,6561;94,7109;2022-09-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;vivo;88,34;44445;134113;88,1381;88,5372;2022-10-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;vivo;91,51;8629;49077;91,1813;91,8412;2022-10-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;tim;93,99;94865;519522;93,8884;94,0912;2022-08-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;tim;94,03;88971;481439;93,9283;94,1390;2022-07-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;campo grande;ms;claro;90,64;9098;40812;90,2757;90,9993;2022-05-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;vivo;93,20;4974;22659;92,7136;93,6846;2022-05-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;claro;90,37;41015;169043;90,1933;90,5488;2022-06-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;macapa;ap;vivo;93,32;3813;15143;92,7297;93,9175;2022-04-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;brasilia;df;tim;93,34;65605;275596;93,2042;93,4827;2022-11-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,15;3915;14371;92,5362;93,7555;2022-05-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;92,86;15754;45467;92,5190;93,2045;2022-12-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;vivo;95,31;4171;28036;94,8766;95,7496;2022-07-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;vivo;95,73;3528;22360;95,2402;96,2177;2022-06-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;rio branco;ac;claro;87,14;8134;35857;86,7518;87,5237;2022-09-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;tim;91,84;9216;22783;91,3562;92,3246;2022-03-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,39;11793;42354;93,0386;93,7489;2022-08-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;tim;91,13;99999;650415;91,0404;91,2216;2022-08-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;tim;91,69;80681;334434;91,5670;91,8198;2022-11-28
2022;3;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;claro;95,98;2486;11429;95,3002;96,6675;2022-03-28
2022;5;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;tim;96,59;10370;40853;96,2237;96,9469;2022-05-28
2022;4;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;claro;95,83;3811;19049;95,3022;96,3613;2022-04-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;tim;91,17;99999;600982;91,0765;91,2650;2022-07-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;vivo;92,43;39300;71123;92,1558;92,7039;2022-09-28
2022;9;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;tim;91,26;99999;507801;91,1542;91,3593;2022-09-28
2022;10;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;natal;rn;claro;93,19;16772;60899;92,8925;93,4848;2022-10-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;claro;94,48;70190;278188;94,3403;94,6174;2022-11-28
2022;8;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;vivo;92,56;39988;71528;92,2841;92,8307;2022-08-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;claro;95,99;24112;100268;95,7549;96,2165;2022-06-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;vivo;92,69;34909;58093;92,3857;92,9922;2022-07-28
2022;11;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;vivo;92,05;37641;65405;91,7668;92,3383;2022-11-28
2022;7;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;claro;96,02;33908;136777;95,8214;96,2166;2022-07-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;vivo;92,62;29740;45496;92,2815;92,9668;2022-06-28
2022;12;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;belo horizonte;mg;tim;92,41;97070;392074;92,2905;92,5240;2022-12-28
2022;6;INF5-2;experiencia do uso de aplicativos em redes de dados - redes sociais;aracaju;se;vivo;89,23;13815;39035;88,8632;89,6031;2022-06-28
